date,plastic_price,oil_price,usd_idr
2025-05-06,7255,59.09000015258789,16421.5
2025-05-07,7270,58.06999969482422,16432.0
2025-05-08,7282,59.90999984741211,16492.599609375
2025-05-09,7246,61.02000045776367,16538.30078125
2025-05-12,7252,61.95000076293945,16543.0
2025-05-13,7321,63.66999816894531,16688.80078125
2025-05-14,7430,63.150001525878906,16599.400390625
2025-05-15,7500,61.619998931884766,16558.19921875
2025-05-16,7507,62.4900016784668,16511.80078125
2025-05-19,7380,62.68999862670898,16487.0
2025-05-20,7312,62.560001373291016,16428.0
2025-05-21,7302,61.56999969482422,16403.0
2025-05-22,7263,61.20000076293945,16347.599609375
2025-05-23,7153,61.52999877929688,16356.900390625
2025-05-26,7107,61.52999877929688,16211.0
2025-05-27,7051,60.88999938964844,16243.5
2025-05-28,7000,61.84000015258789,16279.0
2025-05-29,6996,60.93999862670898,16286.0
2025-05-30,6978,60.790000915527344,16293.0
2025-06-03,6963,63.40999984741211,16288.5
2025-06-04,7012,62.84999847412109,16332.400390625
2025-06-05,7021,63.369998931884766,16291.5
2025-06-06,7069,64.58000183105469,16246.400390625
2025-06-09,7070,65.29000091552734,16309.0
2025-06-10,7096,64.9800033569336,16278.7998046875
2025-06-11,7080,68.1500015258789,16247.7998046875
2025-06-12,7137,68.04000091552734,15778.0
2025-06-13,7137,72.9800033569336,16164.5
2025-06-16,7087,71.7699966430664,16282.599609375
2025-06-17,7289,74.83999633789062,15801.0
2025-06-18,7389,75.13999938964844,16275.0
2025-06-19,7450,75.13999938964844,15598.5
2025-06-20,7466,74.93000030517578,16390.0
2025-06-23,7455,68.51000213623047,16431.0
2025-06-24,7306,64.37000274658203,16370.0
2025-06-25,7254,64.91999816894531,16290.0
2025-06-26,7296,65.23999786376953,16290.0
2025-06-27,7321,65.5199966430664,16222.7998046875
2025-06-30,7297,65.11000061035156,16229.0
2025-07-01,7252,65.44999694824219,16230.0
2025-07-02,7270,67.44999694824219,16236.400390625
2025-07-03,7295,67.0,16235.0
2025-07-04,7313,66.5,16203.7001953125
2025-07-07,7257,67.93000030517578,16178.0
2025-07-08,7256,68.33000183105469,16318.900390625
2025-07-09,7255,68.37999725341797,16261.0
2025-07-10,7302,66.56999969482422,16235.0
2025-07-11,7288,68.44999694824219,16209.099609375
2025-07-14,7267,66.9800033569336,16222.0
2025-07-15,7243,66.5199966430664,16256.2001953125
2025-07-16,7215,66.37999725341797,16252.099609375
2025-07-17,7209,67.54000091552734,16271.2001953125
2025-07-18,7225,67.33999633789062,16329.7001953125
2025-07-21,7276,67.19999694824219,16321.0
2025-07-22,7306,66.20999908447266,16329.5
2025-07-23,7320,65.25,16245.2998046875
2025-07-24,7339,66.02999877929688,16266.099609375
2025-07-25,7439,65.16000366210938,16307.0
2025-07-28,7367,66.70999908447266,16353.0
2025-07-29,7369,69.20999908447266,16398.80078125
2025-07-30,7402,70.0,16367.900390625
2025-07-31,7369,69.26000213623047,16426.80078125
2025-08-01,7336,67.33000183105469,16483.0
2025-08-04,7276,66.29000091552734,16483.0
2025-08-05,7288,65.16000366210938,16362.0
2025-08-06,7318,64.3499984741211,16377.5
2025-08-07,7302,63.880001068115234,16334.7001953125
2025-08-08,7294,63.880001068115234,16300.0
2025-08-11,7302,63.959999084472656,16249.0
2025-08-12,7328,63.16999816894531,16298.0
2025-08-13,7320,62.650001525878906,16248.2001953125
2025-08-14,7300,63.959999084472656,16109.0
2025-08-15,7295,62.79999923706055,16169.0
2025-08-18,7292,63.41999816894531,16196.0
2025-08-19,7284,62.34999847412109,16205.400390625
2025-08-20,7265,63.209999084472656,16275.2001953125
2025-08-21,7330,63.52000045776367,16263.599609375
2025-08-22,7332,63.65999984741211,16339.7001953125
2025-08-25,7352,64.80000305175781,16227.0
2025-08-26,7373,63.25,16267.0
2025-08-27,7338,64.1500015258789,16299.2001953125
2025-08-28,7303,64.5999984741211,16314.0
2025-08-29,7291,64.01000213623047,16344.2998046875
2025-09-01,7243,64.01000213623047,16409.0
2025-09-02,7251,65.58999633789062,16405.19921875
2025-09-03,7245,63.970001220703125,16443.900390625
2025-09-04,7211,63.47999954223633,16463.0
2025-09-05,7214,61.869998931884766,16452.099609375
2025-09-08,7211,62.2599983215332,16392.0
2025-09-09,7203,62.630001068115234,16446.099609375
2025-09-10,7205,63.66999816894531,16449.900390625
2025-09-11,7194,62.369998931884766,16439.0
2025-09-12,7157,62.68999862670898,16413.599609375
2025-09-15,7170,63.29999923706055,16401.0
2025-09-16,7209,64.5199966430664,16364.599609375
2025-09-17,7195,64.05000305175781,16398.099609375
2025-09-18,7159,63.56999969482422,16418.599609375
2025-09-19,7128,62.68000030517578,16569.099609375
2025-09-22,7107,62.63999938964844,16637.0
2025-09-23,7073,63.40999984741211,16582.0
2025-09-24,7109,64.98999786376953,16633.0
2025-09-25,7123,64.9800033569336,16695.099609375
2025-09-26,7103,65.72000122070312,16759.099609375
2025-09-29,7114,63.45000076293945,16723.0
2025-09-30,7100,62.369998931884766,16628.0
2025-10-09,7039,61.5099983215332,16556.0
2025-10-10,7032,58.900001525878906,16577.69921875
2025-10-13,6989,59.4900016784668,16598.0
2025-10-14,6922,58.70000076293945,16548.0
2025-10-15,6895,58.27000045776367,16585.900390625
2025-10-16,6889,57.459999084472656,16575.0
2025-10-17,6868,57.540000915527344,16561.900390625
2025-10-20,6890,57.52000045776367,16566.0
2025-10-21,6865,57.81999969482422,16542.0
2025-10-22,6908,58.5,16598.900390625
2025-10-23,6952,61.790000915527344,16596.599609375
2025-10-24,6955,61.5,16593.80078125
2025-10-27,6966,61.310001373291016,16597.80078125
2025-10-28,6973,60.150001525878906,16158.2001953125
2025-10-29,6953,60.47999954223633,16561.779296875
2025-10-30,6961,60.56999969482422,16562.0
2025-10-31,6914,60.97999954223633,16150.0
2025-11-03,6874,61.04999923706055,16630.0
2025-11-04,6848,60.560001373291016,16640.900390625
2025-11-05,6798,59.59999847412109,16707.0
2025-11-06,6748,59.43000030517578,16669.0
2025-11-07,6776,59.75,16694.099609375
2025-11-10,6759,60.130001068115234,16653.0
2025-11-11,6774,61.040000915527344,16690.0
2025-11-12,6769,58.4900016784668,16694.900390625
2025-11-13,6774,58.68999862670898,16729.0
2025-11-14,6860,60.09000015258789,16719.0
2025-11-17,6850,59.90999984741211,16679.5
2025-11-18,6818,60.7400016784668,16738.900390625
2025-11-19,6813,59.43999862670898,16727.69921875
2025-11-20,6814,59.13999938964844,16686.69921875
2025-11-21,6805,58.060001373291016,16731.0
2025-11-24,6781,58.84000015258789,16639.0
2025-11-25,6796,57.95000076293945,16645.0
2025-11-26,6740,58.650001525878906,16633.5
2025-11-27,6715,58.650001525878906,16614.69921875
2025-11-28,6746,58.54999923706055,16603.900390625
2025-12-01,6799,59.31999969482422,16635.0
2025-12-02,6821,58.63999938964844,16609.0
2025-12-03,6812,58.95000076293945,16609.900390625
2025-12-04,6783,59.66999816894531,16594.0
2025-12-05,6711,60.08000183105469,16654.400390625
2025-12-08,6648,58.880001068115234,16683.0
2025-12-09,6595,58.25,16686.0
2025-12-10,6556,58.459999084472656,16662.0
2025-12-11,6579,57.59999847412109,16639.0
2025-12-12,6506,57.43999862670898,16649.0
2025-12-15,6540,56.81999969482422,16623.099609375
2025-12-16,6515,55.27000045776367,16645.80078125
2025-12-17,6474,55.93999862670898,16644.599609375
2025-12-18,6467,56.150001525878906,16657.0
2025-12-19,6348,56.65999984741211,16685.19921875
2025-12-22,6242,58.0099983215332,16678.5
2025-12-23,6242,58.380001068115234,16756.400390625
2025-12-24,6297,58.34999847412109,16735.0
2025-12-25,6317,58.34999847412109,16735.0
2025-12-26,6294,56.7400016784668,16753.099609375
2025-12-29,6329,58.08000183105469,16741.099609375
2025-12-30,6300,57.95000076293945,16770.0
2025-12-31,6300,57.41999816894531,16709.0
2026-01-05,6314,58.31999969482422,16683.0
2026-01-06,6355,57.130001068115234,16727.19921875
2026-01-07,6455,55.9900016784668,16742.0
2026-01-08,6487,57.7599983215332,16753.0
2026-01-09,6474,59.119998931884766,16805.69921875
2026-01-12,6507,59.5,16826.69921875
2026-01-13,6573,61.150001525878906,16859.400390625
2026-01-14,6669,62.02000045776367,16840.80078125
2026-01-15,6703,59.18999862670898,16845.099609375
2026-01-16,6622,59.43999862670898,16878.900390625
2026-01-19,6588,59.43999862670898,16876.599609375
2026-01-20,6521,60.34000015258789,16939.0
2026-01-21,6528,60.619998931884766,16960.099609375
2026-01-22,6615,59.36000061035156,16897.0
2026-01-23,6732,61.06999969482422,16820.0
2026-01-26,6789,60.630001068115234,16770.0
2026-01-27,6739,62.38999938964844,16734.0
2026-01-28,6831,63.209999084472656,16674.69921875
2026-01-29,6884,65.41999816894531,16722.80078125
2026-01-30,6898,65.20999908447266,16778.30078125
2026-02-02,6794,62.13999938964844,16758.400390625
2026-02-03,6735,63.209999084472656,16758.400390625
2026-02-04,6902,65.13999938964844,16759.0
2026-02-05,6823,63.290000915527344,16800.0
2026-02-06,6763,63.54999923706055,16879.900390625
2026-02-09,6759,64.36000061035156,16843.5
2026-02-10,6750,63.959999084472656,16796.0
2026-02-11,6783,64.62999725341797,16778.0
2026-02-12,6786,62.84000015258789,16793.900390625
2026-02-13,6681,62.88999938964844,16809.0
2026-02-24,6786,65.62999725341797,16804.30078125
2026-02-25,6801,65.41999816894531,16816.80078125
2026-02-26,6737,65.20999908447266,16749.80078125
2026-02-27,6596,67.0199966430664,16749.0
2026-03-02,6793,71.2300033569336,16795.0
2026-03-03,7093,74.55999755859375,16863.0
2026-03-04,7337,74.66000366210938,16898.099609375
2026-03-05,7404,81.01000213623047,16865.0
2026-03-06,7495,90.9000015258789,16913.099609375
2026-03-09,7915,94.7699966430664,16923.69921875
2026-03-10,7980,83.44999694824219,16886.0
2026-03-11,7906,87.25,16852.0
2026-03-12,8405,95.7300033569336,16884.0
2026-03-13,8430,98.70999908447266,16908.0
2026-03-16,8632,93.5,16952.099609375
2026-03-17,8497,96.20999908447266,16953.099609375
2026-03-18,8533,96.31999969482422,16971.30078125
2026-03-19,8902,96.13999938964844,17041.69921875
2026-03-20,8737,98.31999969482422,16915.900390625
2026-03-23,9248,88.12999725341797,16959.30078125
2026-03-24,9098,92.3499984741211,16865.099609375
2026-03-25,8679,90.31999969482422,16797.30078125
2026-03-26,8719,94.4800033569336,16749.599609375
2026-03-27,8801,99.63999938964844,16925.0
2026-03-30,9018,102.87999725341795,16958.0
2026-03-31,8693,101.37999725341795,16975.400390625
2026-04-01,8559,100.12000274658205,16936.400390625
2026-04-02,8582,111.54000091552734,16924.099609375
2026-04-03,8640,111.54000091552734,16959.0
2026-04-07,9225,112.9499969482422,17015.30078125
2026-04-08,8824,94.41000366210938,17027.400390625
2026-04-09,8512,97.87000274658205,17005.5
2026-04-10,8479,96.56999969482422,17059.0
2026-04-13,8380,99.08000183105467,17083.0
2026-04-14,8312,91.27999877929688,17079.19921875
2026-04-15,8054,91.29000091552734,17129.0
2026-04-16,8046,94.69000244140624,17146.099609375
2026-04-17,8131,83.8499984741211,17123.0
2026-04-20,7968,89.61000061035156,17133.0
2026-04-21,7944,92.12999725341795,17123.80078125
2026-04-22,8048,92.95999908447266,17133.099609375
2026-04-23,8112,95.8499984741211,17199.5
2026-04-24,8144,94.4000015258789,17329.0
2026-04-27,8183,96.37000274658205,17246.0
2026-04-28,8283,99.93000030517578,17216.0
2026-04-29,8410,106.87999725341795,17244.0
2026-04-30,8441,105.06999969482422,17334.19921875
